tconst,primaryTitle,startYear,runtimeMinutes,genres
tt10366574,Prayers for the Stolen,2021,110,Drama
tt10367074,Red Sandra,2021,107,Drama
tt10368680,Below the Fold,2021,92,"Drama,Mystery,Thriller"
tt10368758,Heart of Oak,2022,80,"Adventure,Documentary,Family"
tt10369252,Are You Happy Now,2021,,"Comedy,Romance"
tt10369638,My Name Is Andrea,2022,90,Documentary
tt10369928,Vagabond Lover 1999,2023,,"Crime,Drama,Mystery"
tt10369964,Seal of Desire,2022,106,"Romance,Thriller"
tt10370042,Rising Wolf,2021,102,"Fantasy,Mystery,Sci-Fi"
tt10370308,Ama'ara: The Song of the Whales,2021,95,Documentary
tt10370694,The Brain,2021,100,Documentary
tt10370710,The Worst Person in the World,2021,128,"Comedy,Drama,Romance"
tt10370822,Detective Chinatown 3,2021,136,"Action,Adventure,Comedy"
tt10370886,The Storms of Jeremy Thomas,2021,94,Documentary
tt1037226,The Adventures of Tintin: Red Rackham's Treasure,2027,,"Action,Adventure,Animation"
tt10372626,Tous flics!,2022,76,Comedy
tt10373344,Fisherman's Friends: One and All,2022,111,"Comedy,Drama,Music"
tt10373728,Love Bug,2021,83,Drama
tt10373934,Deep Woods,2022,93,Thriller
tt10374714,Disbeliever,2022,,Documentary
tt10375094,Pada,2022,130,"Crime,Drama,Thriller"
tt10375112,Clodagh,2021,,Drama
tt10375264,Vienna,2021,,Action
tt10375396,God's Creatures,2022,100,Drama
tt10375632,C'est magnifique!,2021,98,"Comedy,Drama"
tt10375916,Night of the Sicario,2021,82,"Action,Drama,Thriller"
tt10376010,Bob Spit: We Do Not Like People,2021,90,Animation
tt10376078,Other People,2021,106,"Drama,Music"
tt10376800,Petite Solange,2021,86,Drama
tt10378240,Reggie: A Millenial Depression Comedy,2021,,"Comedy,Drama"
tt10378492,Uncharitable,2022,90,Documentary
tt10378874,The Sculpture,2022,,Documentary
tt10379142,Monarch City,2022,88,Drama
tt10380202,The Hit Man,2022,,Documentary
tt10380900,Petrov's Flu,2021,145,"Drama,Sci-Fi"
tt10380976,The Colour Of Ink,2022,105,Documentary
tt10381014,The War Below,2021,96,"Drama,History,War"
